data,dia,seguidores,seguindo,posts
2021-02-04,Qui,12505696,1722,727
2021-02-06,Sab,12541057,1721,731
2021-02-07,Dom,12396387,1720,732
2021-02-08,Seg,12354735,1716,732
2021-02-09,Ter,12338793,1714,734
2021-02-10,Qua,12355880,1717,735
2021-02-11,Qui,12360495,1719,737
2021-02-12,Sex,12358588,1720,738
2021-02-13,Sab,12361209,1721,740
2021-02-14,Dom,12359841,1720,741
2021-02-15,Seg,12355042,1721,742
2021-02-17,Qua,12178972,1718,742
2021-02-18,Qui,12166397,1718,743
2021-02-19,Sex,12158238,1717,744
2021-02-20,Sab,12151008,1717,745
2021-02-21,Dom,12144756,1716,746
2021-02-22,Seg,12138407,1717,747
2021-02-23,Ter,12144872,1717,748
2021-02-24,Qua,12153429,1717,749
2021-02-25,Qui,12158328,1715,750
2021-02-26,Sex,12161096,1714,751
2021-02-27,Sab,12166550,1715,752
2021-02-28,Dom,12171236,1716,752
2021-03-01,Seg,12171901,1715,753
2021-03-02,Ter,12175457,1716,754
2021-03-03,Qua,12181048,1713,755
2021-03-03,Qua,12181048,1713,755
2021-03-05,Sex,12190226,1716,757
2021-03-06,Sab,12201673,1715,758
2021-03-06,Sab,12201673,1715,758
2021-03-08,Seg,12216810,1716,760
2021-03-08,Seg,12216810,1716,760
2021-03-10,Qua,12257642,1716,764
2021-03-11,Qui,12287258,1713,767
2021-03-11,Qui,12287258,1713,767
2021-03-11,Qui,12287258,1713,767
2021-03-14,Dom,12328597,1713,770
2021-03-15,Seg,12578325,1716,772
2021-03-15,Seg,12578325,1716,772
2021-03-15,Seg,12578325,1716,772
2021-03-18,Qui,12754373,1718,777
