data,dia,seguidores,seguindo,posts
2021-02-06,Sab,16874651,937,2630
2021-02-07,Dom,16867791,939,2631
2021-02-08,Seg,16863462,938,2633
2021-02-09,Ter,16885680,938,2635
2021-02-10,Qua,16915807,938,2638
2021-02-11,Qui,16943165,938,2640
2021-02-12,Sex,16990953,938,2643
2021-02-13,Sab,17022003,925,2645
2021-02-14,Dom,17043994,924,2648
2021-02-15,Seg,17065917,924,2650
2021-02-16,Ter,17086022,924,2651
2021-02-17,Qua,17105467,923,2654
2021-02-18,Qui,17122081,923,2656
2021-02-19,Sex,17148610,924,2658
2021-02-20,Sab,17172071,924,2660
2021-02-21,Dom,17194518,924,2662
2021-02-22,Seg,17220362,924,2664
2021-02-23,Ter,17248296,923,2660
2021-02-24,Qua,17276378,924,2663
2021-02-25,Qui,17293417,926,2665
